,0
1597,1901.01222
1598,2005.03596
1599,1901.10200
1600,1804.01106
1601,1609.08082
1602,1703.03680
1603,1511.02771
1604,0811.3231
1605,1702.08009
1606,1210.8418
1607,1807.09406
1608,1703.09766
1609,2005.04112
1610,1810.00267
1611,1911.12736
1612,1904.06217
1613,1909.05233
1614,1711.10634
1615,1703.09268
1616,1412.4485
1617,1611.06972
1618,1702.03400
1619,2007.14677
1620,1006.4955
1621,1909.01279
1622,math0108096
1623,1109.3510
1624,1912.10068
1625,quant-ph0503230
1626,1803.07938
1627,1603.08029
1628,1605.00769
1629,2003.03664
1630,1710.05980
1631,1705.02156
1632,1907.11623
1633,1802.05319
1634,1503.07193
1635,1102.0115
1636,2002.10525
1637,1912.06321
1638,1907.03289
1639,1809.09319
1640,2006.09963
1641,1605.09774
1642,1901.00643
1643,1706.06783
1644,1606.01567
1645,1804.06508
1646,2003.05564
1647,1810.08929
1648,1704.03777
1649,1902.04768
1650,1611.05101
1651,1410.6387
1652,1912.04093
1653,1509.04442
1654,1310.4345
1655,2005.02547
1656,2002.02701
1657,1303.5016
1658,1512.01249
1659,1909.07669
1660,1008.2277
1661,1803.00884
1662,2007.03000
1663,1709.02230
